CLDN6	IGF2	1.9925889956272855
IGF2	CLDN6	1.9925889956272855
FGF5	OTX2	1.989668723976607
OTX2	FGF5	1.989668723976607
CDH2	PAX6	1.9837035720563774
PAX6	CDH2	1.9837035720563774
KLF4	TBX3	1.9836580750418733
TBX3	KLF4	1.9836580750418733
SOCS3	STAT3	1.9809540794686797
STAT3	SOCS3	1.9809540794686797
CDH2	VIM	1.9761775546914664
VIM	CDH2	1.9761775546914664
GLI2	HES1	1.9758755978207505
HES1	GLI2	1.9758755978207505
FGF4	POU5F1	1.9735976922025904
POU5F1	FGF4	1.9735976922025904
MYST3	SMAD1	1.9712803891661783
SMAD1	MYST3	1.9712803891661783
POU5F1	UTF1	1.9690947106478411
UTF1	POU5F1	1.9690947106478411
GDF3	POU5F1	1.967074953177288
POU5F1	GDF3	1.967074953177288
FGF4	GDF3	1.9663148020802828
GDF3	FGF4	1.9663148020802828
GLI2	GSK3B	1.96420359181477
GSK3B	GLI2	1.96420359181477
SOCS3	TBX3	1.96351402679682
TBX3	SOCS3	1.96351402679682
DNMT3B	OTX2	1.961012711467942
OTX2	DNMT3B	1.961012711467942
JAG1	PAX6	1.960466562292932
PAX6	JAG1	1.960466562292932
KLF4	STAT3	1.960323148892778
STAT3	KLF4	1.960323148892778
ACTB	PTPN11	1.9573135153260646
PTPN11	ACTB	1.9573135153260646
ESRRB	NR0B1	1.9571413778307378
NR0B1	ESRRB	1.9571413778307378
DNMT3B	FGF5	1.9552651567299384
FGF5	DNMT3B	1.9552651567299384
DPPA4	GDF3	1.955070068341102
GDF3	DPPA4	1.955070068341102
GAPDH	LIN28	1.954868783260557
LIN28	GAPDH	1.954868783260557
KLF4	SOCS3	1.9529110187506653
SOCS3	KLF4	1.9529110187506653
FBXO15	KLF4	1.9487503516866553
KLF4	FBXO15	1.9487503516866553
MBD3	SMARCC1	1.9486293668140728
SMARCC1	MBD3	1.9486293668140728
FOXA2	IGF2	1.9485421135286551
IGF2	FOXA2	1.9485421135286551
ESRRB	NR5A2	1.9468401991660076
NR5A2	ESRRB	1.9468401991660076
DPPA4	FGF4	1.9453191728715846
FGF4	DPPA4	1.9453191728715846
CLDN6	LIF	1.944683763267507
LIF	CLDN6	1.944683763267507
LIFR	STAT3	1.9413613336710676
STAT3	LIFR	1.9413613336710676
DNMT1	SMARCC1	1.9407727762149807
SMARCC1	DNMT1	1.9407727762149807
NR5A2	TBX3	1.9406026247117172
TBX3	NR5A2	1.9406026247117172
CD34	FGF5	1.9390578544427362
FGF5	CD34	1.9390578544427362
ESRRB	TBX3	1.9365576953191792
TBX3	ESRRB	1.9365576953191792
DPPA4	UTF1	1.934971191701756
UTF1	DPPA4	1.934971191701756
FGF4	UTF1	1.9348160931227087
UTF1	FGF4	1.9348160931227087
ESRRB	FBXO15	1.9325111566096593
FBXO15	ESRRB	1.9325111566096593
NES	PAX6	1.9317680238837216
PAX6	NES	1.9317680238837216
FOXA2	LIFR	1.9313303776304038
LIFR	FOXA2	1.9313303776304038
NR0B1	NR5A2	1.9305980264394906
NR5A2	NR0B1	1.9305980264394906
BMP7	IGF2	1.9302007848273934
IGF2	BMP7	1.9302007848273934
FBXO15	TBX3	1.9296999495898972
TBX3	FBXO15	1.9296999495898972
MKI67IP	MYC	1.9290491807770984
MYC	MKI67IP	1.9290491807770984
DPPA4	POU5F1	1.9281502440042555
POU5F1	DPPA4	1.9281502440042555
CD34	CLDN6	1.9277565025364414
CLDN6	CD34	1.9277565025364414
BMP4	NR5A2	1.9274800590152217
NR5A2	BMP4	1.9274800590152217
FGF4	NR0B1	1.9241660645251177
